helpful,review
1,always notification box even check go away even try download also update annoy send permanent picture chat anymore mean ones previously save annoy instagram top social media choice since friends relatively easy use
1,good add stories ig 85 time even load still able see actual story regular videos choppy annoy smh update 13 17 many videos load plus many time even upload repost videos use keep music would uninstall ig way many flaw
1,use love instagram still one tiny issue whenever try log say sorry problem request something happen lot people try change password many time still work already email get reply would really appreciate instagram could fix
1,instagram see hop users anyone else problem upload videos try upload 15 50 second videos keep buffer freeze sometimes day message ig course response go month aside also get lock one account log try log back let even confirm code email
1,videos slow upload even 75 mb connection fast upload also speed test confirm videos badly deteriorate quality also sometimes say cannot import video try later never work instagram share bug report nothing ever do bad app android would get star care fix things dont
1,instagram remember facebook share settings remember settings twitter facebook log back facebook instagram configure share page want photo share share annoy almost hourly process share lot instagram social media outlets fix
1,please fix converter engine quality video audio ive upload always turn bad do least dont compress resolution much also please consider make option users choose light dark theme background hurt eye open instagram middle night pretty sure one would nice add pin photos video feature thank lot
1,upon time instagram instagram everybody love one day mark zuckerberg buy instagram decide like facebook get rid time ruin instagram algorithms mark decide steal ideas turn instagram snapchat stop try turn instagram snapchat
1,dont like new follow followers set nice search people scroll open profile anddd back follow section back top scroll open someone profile back happen burdensome really pls make live difficult life
1,ever post video picture story feature well occasional crash update post video kind refuse post see page tell like picture comment say unable refresh everytime uninstalled reinstall 4th time use also send multiple report instagram result answer back report problems app crash worst customer service post use samsung galaxy a5
1,reason kind app instagram site specifically design block normal attempt capture pics ridiculous instagram app also offer capture pic option one star unless idiocy change dumbasses
1,work well android stories videos upload sometimes even wifi give option delete try post story video upload happen switch account do upload get stick account maybe next day decide finish upload
1,love instagram really great app share edit photos live video keep say check connection internet connection excellent something wrong overall great app thx
1,favourite app love watch comedians videos let post videos video always screw addition sometimes instagram stop work time row please let android user privilege iphone users
1,edit follow list isnt accurate list well know ppl kno friends follow similar celebs theyre never list even search follow list also ads gettin outta control high speed wifi still lag everything cuz ads devices also set play sound right away ads sometimes play sound anyway
1,app good site self need work hard find things filter strict could solve rate filter card verify age certify restrictions still look deactivate button get rid older profile want use
1,great content something instagram primarily theres herd talented people make stuff kudos foster creative community users three star cause videos constantly get stick play clear cache instal check power save settings reboot dozen time avail laaaaame
1,get incredibly frustrate use late instagram rather long time experience little issue new update every time enter app instagram say load anything random buffer page flash screen make hard close worst update
1,photos arent able post many time show post matter many time click retry still dsnt get upload resort delete app instal successful upload go back square one cycle begin
1,nothing bad get new disappear dm photos option even update app still update manual update point seem every facebook relate app pseudo update cram update whether want
1,instagreat app best app ive use always think instagram lame first post ive become addict app
1,suck even download anymore reset phone say device compatible yet heck
1,awesome sleek excellent sony xperia upload pics directly contact bbm display picture photo gallery wish could give apps 5stars
1,enjoyable photo social media know join instagram sooner way easier post view quick photos share items drawback mobile app little difficult get use first easily learn
1,perfect show people food kid app really great show important moments life say please return square profile picture circle really cut
1,ehh every change password due unusual activity luckily use work email reset really wish
1,app 10 time better snapchat frm side shuld say app best social media apps change require app shuld remain story feature quite better attract also one feature goodd unsend message last use app 24
1,awesome app connect people around world love
1,please go back tot old way new versions update make app worse post timeline hours hours ago nothing current
1,think random sequence post good idea dig around search recent post ones four days ago top please hurry fix
1,instagram pretty much one best social media apps ads every perfect love
1,videos automatically play sound set turn feature
0,love bro love place get say madselfie
1,get option go back chronological order
1,use ig lot get really frustrate ig things like shadow ban initiatives manage account several businesses really hate see penalize one mobile device attach account instagram suppose community engagement instagram shut exposure buy minimally effective ads overit
1,name instagram drippy thegod nothing loyal social media face log issue daily even use link get back like even want use app smh
1,usually love instagram little problems like message disappear moment log assume something phone usual reinstall app log anything
1,delete app mind new icon basic layout mind see post saw days ago top mind waste time data scroll see recent post change worst thing could do even click see post chronological order like facebook reason keep algorithms moments care first failures want see recent moments rather ones already see guy get majority users prefer reseeing past moments obvious people listen boot door hope door slap head way
1,keep rat people change reason people update try get higher rat
1,still keep rat get chronological back miss see people follow
1,rat see post week ago top delete make chronological dummy listen users
1,reason use get instagram first place see plethora many different photos newsfeed whatever see photos different account base like hate use discovery page turn weird clickbate people seem get lot like picture nothing anything say things like double tap see magic manage stop must already give company
0,gotta love ig
0,addict still best
1,review instagram five years ago love app use frequently today much algorithm change currently see photos photos five days ago feel creeper comment someone old post thousands ig users want able view photos chronological order least option
1,simple app amaze photos
1,really enjoy app super easy interface allow edit share beautiful photos best part app free
1,weird issue freeze attempt zoom things zoom back stay blow leave app come back blow photo cannot get away either power cycle iphone delete app
0,love
0,great app
0,use app
1,good app
1,login account app try say sorry problem request use email log even log email fix login problem
1,like instagram delete redownloaded keep say problem try sign please help
1,man love gram way keep touch hazel
1,keep see photos miss photos would like see afraid like photos change algorithm even please give option opt algorithm
0,account get hack way recover
1,love
1,instagram great app simple fun creative problem sometimes instagram glitches screen freeze
0,love picture mostly instead advertisements
0,keep log account
0,filter caption however like privacy etc perfect app iphone
0,instagram greatest keep date
0,tanx
0,instagram fun get
0,post picture comment like
0,quickly become one favorite platforms love update excite see next thank instagram easy fun platform use
0,wonder whether download wait download easy use
1,best
1,amaze app
0,new algorithm literally worst thing could do please revert back know everyone go stop use like fb
0,ever get dm open push notification stay go away matter hard try download app like time least keep happen besides instagram homie
0,app fine post stop chronological order bad update
0,like instagram
0,howdy love apple cn see nudes
1,please let edit picture post
1,possibly one effective way connect walk life problem ive notice notifications always late real time thats big deal
1,cant log anymore keep say sorry problwm request could yall fix issue today
0,love every update version since 2012 far use favorite app thank guy
0,love app post away find cool picture day
0,fun way socialize weekend lot fun see friends
1,update app stop crash open draft pic edit please fix
1,love instagram honestly amaze use platform anything keep post something want post one account onto completely different one say post second account post first please fix
1,fix explore page new one need go
1,bring back chronological order please
1,love instagram login problem lot ppl so please instagram help now help rate star love app log point
1,would great option besides hand free video well give ability post portraits size would greatest improvement instagram still crop half post probably biggest complaint please add improvements would greatly love appreciate thank
1,see many like post kindly fix issue
0,instagram love could facebook account tweeter account instagram change best
0,love
0,cannot log account app allow log account even login link help
0,intuitive app media dilettante seek build develop disseminate authentic brand appreciate developer willingness assist maintain content originality ballot stuff connectivity adaptability like
1,instagram want verify account send verification code try day get work please address issue soon possible need get back instagram account
1,admit use app awhile come back frame filter go like
1,rat star go top havent able log instagram weeks app keep get error message say sorry problem request please fix asap angry
1,amaze way share craft crochet sharpe crochet cre8tion fb
1,love instagram really one major problem affect much direct message group size total sixteen wish could something like thirty people leave major conversations also could make account create group could remove people group great anyway instagram great app actually addict
1,hate see post weeks ago resent post miss post friends really annoy hop future update decide current algorithm old one love instagram resent update terrible
1,love app disappear photos random upload really annoy love fact could use camera send photo friend use real phone camera send something rather stay need stupid disappear photos plus hate guy put stories plus every time try zoom photo library screen go back fee zoom annoyingly fix
1,hours ago attempt order couple drink hipster bar block away apartment call buzzmill give two chance staff advise leave bar comfortable enough trust id 39 years old believe may may accompany illegal immigrants moron president complicit bar manager buzzmill much enjoy buzzmill past must insist friends longer patronize time
1,unblock person every time try say user find make sense need way unblock person block
1,wifi connect instagram slow glitches shut time take minute picture load help
0,five star best social media application
0,say
0,awesomeness
0,cut picture chat right side see people block comment sometimes follow report
0,little pretty cool app
0,wonderful app
0,great great
1,one problem keep get post notifications late love everything app except get notifications later happen
1,try log account put username password every time would sorry error decide use email log finally work month later get new update let log please fix
1,update still able log love app fix soon go delete
0,good app love download babes
0,lot fun view share photos instagram
0,get many followers literally turn celebrity
0,best app ever come like best friend add like people picture
1,new time line cause like people picture four days ago follow 450 people happen might well write letter send mail totally defeat purpose social media look many one star current version please fix
0,great app need bring back regular photos instead send snap dms
0,love
0,love ig whole heart app rn gross bring back chrono fee old dm style otherwise still love
0,instagram great need tweak better
1,please bring back chronological order need keep add stuff bring back chronological order annoy get post like days ago even see latest post unless go account notification recommendation part eat notification space important bring back chronological order lot people already ask
0,really good app
0,good must improve
0,wish could delete entire thing account
0,app give many interest
0,awesome think app best way keep touch friends also meet random people follow make lot friends good filter thump
0,android instagram live bc instagram live phone update app reset phone nothing
0,awesome
0,easy use love new save feature
0,love game
0,love
0,sure
0,app phone load fee quick enough leave wait several minutes till keep look phoyos videos
0,freakin love
0,amaze arigatou instagram
0,hate
0,amaze way connect friends family totally recommend
0,enjoy app
0,awesome
0,best app ever town
0,like app
0,like app
0,awsm app love
0,every work
0,think good addictive bc delete download bc well live without
0,ight
0,need review one best app social network thank team
0,good
0,love great keep touch friends
0,wonderful app social media
0,like instagram pretty cool
0,love
0,awesome
0,love app
0,addict
0,love app best app ever
0,decent upload view pics
0,love lag epic
0,ayoba
0,good program
0,love
0,awesomme
0,fun app like love boomerang story feature
0,app amaze fulfill promise
0,love instagram much
0,new phone catch blue try get account
0,simply perfect
1,awesome
0,addictive
0,lose account hell guy
0,awsome
0,love share beauty find moments become story even cannot bring time back return past picture people share remind goodness deliciousness life love instagram easy keep track story
0,love
0,space manipulate one profile message
0,ok
0,perfect
0,must hipster wannabe artist
0,camera quality come take selfies great usually upload cut extremists hate group account however love app much edit capabilities
0,best app sometimes slow
0,awesome
0,best app sometimes slow
0,awesome
0,love app great experience meet new friends outside world totally get app
0,disadvantage take much time delete buy time
0,pretty much addict ig
0,good
0,ok gzel
0,good cool stuff
0,good app
0,perfect social web
1,new update make lose account two account connect email active tonight log one log use facebook connection log keep ask email verification enter six digit number send email app keep refresh back log screen try many time stil log account sure enter right code send email please fix
1,think need edit options picture could options pole rod slight stretch want show entire picture landscape extremely tall need options definitely good also possible things time order post hour last post show post cluster post together
1,favourite app except even let log account anymore please fix asap uninstalling instal app number time nothing seem work appear load long time say server error definitely problem connection apps work fine
1,absolutely head heel app allow take time admire work others make even something funny laugh force smile feel like picture get paint mind look artwork also update things like new movies restaurants excedera wish could make studio people go real life create magazines feature quote things love instagram
1,actually really like edit photos glad add save draft option tilt shift finally work galaxy s6 cool option hide previous post make private without delete could shift around pics order
1,think great social app far view photos around globe especially recent ig story addition think easily become topic daily conversations actively social perhaps one upload multiple photos one go photo set different effect instead one haha peace
1,update fee since update last update cause fee display randomly newest first return fix fix crop portrait image would give star crop portrait photos lose either top bottom image totally destroy context sometimes seriously annoy retake photos edit elsewhere display actually want first place landscape show full image portrait though great app
1,heavens sake please stop automatically refresh fee middle person finish read entire fee reach point last leave right extremely irritate read new refresh fee first point last leave provide button refresh fee automatically
1,great odd reason unable upload videos upload halfway drop back half internet connection pretty stable keep instagram date please take time fix guy great job thank bunch
1,really wish way sort fee newest first instead content randomly arrange follow friends keep miss things post becase fee disorganize make really reluctant follow new people know make harder see new image fee almost make follow feature worthless
1,use use ig follow idols instal new phone upload lot videos yesterday delete try post album last night upload also delete pic part album gallery know definitely work cancel upload today record something still upload reinstall app would lose record back gallery yet hours
1,revise rat last week dm people reason cannot anymore ig freezez shut report time help response also hate way fee order fix issue change read back star
1,fee organization horrible either change back newest first give option list feed either popular newest also tilt shift edit function work edit year later none issue fix even address fee still operate chronologically keep see post saw two days ago coachella post week ago know one complain fix
